year,T,K,A,R,Others,US_Only
1968,1,0,0,0,0,0
1969,1,0,0,0,0,0
1970,1,0,0,0,0,0
1971,1,0,0,0,0,0
1972,1,0,0,0,0,0
1973,0.588,0,0.412,0,0,0
1974,1,0,0,0,0,0
1975,0.95,0,0,0,0.05,0
1976,1,0,0,0,0,0
1977,1,0,0,0,0,0
1978,0.556,0.444,0,0,0,0
1979,0,1,0,0,0,0
1980,0,1,0,0,0,0
1981,0,0.955,0,0.045,0,0
1982,0.029,0.971,0,0,0,0
1983,0,1,0,0,0,0
1984,0,1,0,0,0,0
1985,0,0.98,0,0,0.02,0
1986,0,1,0,0,0,0
1987,0,1,0,0,0,0
1988,0,1,0,0,0,0
1989,0,1,0,0,0,0
1990,0,1,0,0,0,0
1991,0,1,0,0,0,0
1992,0,1,0,0,0,0
1993,0,1,0,0,0,1
1994,0,0.993,0,0.007,0,0
1995,0,1,0,0,0,1
1996,0,1,0,0,0,1
1997,0,1,0,0,0,0
1998,0,0.949,0,0.048,0.003,0
1999,0,0.985,0,0.015,0,1
2000,0,0.995,0,0.005,0,0
2001,0,0.997,0,0.003,0,0
2002,0,1,0,0,0,1
2003,0,1,0,0,0,1
2004,0,1,0,0,0,1
2005,0,1,0,0,0,1
2006,0,1,0,0,0,1
2007,0,0.997,0,0.003,0,1
2008,0,0.999,0,0,0.001,1
2009,0,1,0,0,0,1
2010,0,0.996,0,0.004,0,1
