year,similarity
1968,0.24113475177304963
1969,0.24305555555555555
1970,0.25
1971,0.25
1972,0.30645161290322576
1973,0.32352941176470584
1974,0.3728070175438596
1975,0.3625
1976,0.3950617283950617
1977,0.39285714285714296
1978,0.4074074074074074
1979,0.4166666666666667
1980,0.47222222222222227
1981,0.4603174603174603
1982,0.4393939393939393
1983,0.4309523809523808
1984,0.414141414141414
1985,0.4268707482993198
1986,0.41666666666666674
1987,0.42171717171717155
1988,0.4032258064516127
1989,0.33894230769230754
1990,0.3290229885057471
1991,0.3345070422535209
1992,0.3419243986254292
1993,0.33702791461412207
1994,0.33449883449883466
1995,0.3409090909090914
1996,0.5028957528957534
1997,0.5625000000000004
1998,0.6692528735632172
1999,0.7314323607427052
2000,0.7400556881463803
2001,0.7505241090146753
2002,0.7764865996649908
2003,0.7890407491774291
2004,0.8196844993141413
2005,0.8396250642013408
2006,0.823273130545002
2007,0.799979022445979
2008,0.8311231665661976
2009,0.8283152909336949
2010,0.8269392917369435
